"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","eeax0vseeax1",35.1020049710025,35.9857993586807,-0.883794387678229,30175,4366,-4.9772543998862
"diploma","eeax0vseeax1",0.42393891312971,0.267428304966193,0.156510608163518,30252,4289,21.3456840864471
"experience_months","eeax0vseeax1",44.0490020555666,43.9330897465175,0.115912309049136,30162,4379,0.113288108213771
"formation","eeax0vseeax1",4.53551766707818,3.15491974877879,1.38059791829939,29971,4299,29.3952279023192
"male","eeax0vseeax1",0.490016583747927,0.582327488043726,-0.0923109042957987,30150,4391,-11.5666809344373
"part_time","eeax0vseeax1",0.243555290136359,0.149942062572422,0.0936132275639373,30141,4315,15.6768004014558
"age","eeax0vsfrenchx0",35.1020049710025,31.9376644648082,3.16434050619428,30175,4651071,51.3844638836794
"diploma","eeax0vsfrenchx0",0.42393891312971,0.647899886805826,-0.223960973676115,30252,4650416,-78.585208778061
"experience_months","eeax0vsfrenchx0",44.0490020555666,47.2713132239161,-3.22231116834951,30162,4648933,-8.65842600696714
"formation","eeax0vsfrenchx0",4.53551766707818,6.11669638789116,-1.58117872081299,29971,4591556,-90.7583016668825
"male","eeax0vsfrenchx0",0.490016583747927,0.492960045138281,-0.00294346139035406,30150,4650598,-1.01907915678323
"part_time","eeax0vsfrenchx0",0.243555290136359,0.225310139601318,0.018245150535041,30141,4643151,7.35699334867981
"age","eeax0vsfrenchx1",35.1020049710025,33.976017947158,1.12598702384448,30175,368192,17.5359717768233
"diploma","eeax0vsfrenchx1",0.42393891312971,0.668019531133505,-0.244080618003795,30252,368847,-82.8740585556987
"experience_months","eeax0vsfrenchx1",44.0490020555666,57.0227094753328,-12.9737074197662,30162,370330,-32.7988573921265
"formation","eeax0vsfrenchx1",4.53551766707818,5.87183452912466,-1.33631686204648,29971,365309,-75.4221823782816
"male","eeax0vsfrenchx1",0.490016583747927,0.573802774876921,-0.0837861911289937,30150,368665,-28.0032046492417
"part_time","eeax0vsfrenchx1",0.243555290136359,0.15955464568803,0.0840006444483289,30141,369773,33.0104780797657
"age","eeax0vsnon-eeax0",35.1020049710025,37.3020312358942,-2.20002626489171,30175,55385,-28.7467386537417
"diploma","eeax0vsnon-eeax0",0.42393891312971,0.396952903586837,0.0269860095428736,30252,55397,7.66529822790858
"experience_months","eeax0vsnon-eeax0",44.0490020555666,56.0609009659655,-12.0118989103989,30162,55385,-23.7575550492274
"formation","eeax0vsnon-eeax0",4.53551766707818,4.45076474872542,0.0847529183527564,29971,54920,3.8662967249512
"male","eeax0vsnon-eeax0",0.490016583747927,0.55766449746927,-0.0676479137213427,30150,55320,-18.9467087100117
"part_time","eeax0vsnon-eeax0",0.243555290136359,0.288465018639835,-0.0449097285034759,30141,55258,-14.326024561228
"age","eeax0vsnon-eeax1",35.1020049710025,39.1928553584811,-4.09085038747865,30175,4003,-23.5901596747156
"diploma","eeax0vsnon-eeax1",0.42393891312971,0.362816336757705,0.0611225763720056,30252,3991,7.52293062890122
"experience_months","eeax0vsnon-eeax1",44.0490020555666,56.8046465151137,-12.7556444595471,30162,4003,-9.54186511264796
"formation","eeax0vsnon-eeax1",4.53551766707818,3.87887887887888,0.656638788199297,29971,3996,12.8955008946819
"male","eeax0vsnon-eeax1",0.490016583747927,0.519419862340216,-0.0294032785922893,30150,4068,-3.52276611112343
"part_time","eeax0vsnon-eeax1",0.243555290136359,0.334409937888199,-0.0908546477518397,30141,4025,-11.5923584512757
"age","eeax1vsfrenchx0",35.9857993586807,31.9376644648082,4.0481348938725,4366,4651071,24.2820983271398
"diploma","eeax1vsfrenchx0",0.267428304966193,0.647899886805826,-0.380471581839633,4289,4650416,-56.2584594048179
"experience_months","eeax1vsfrenchx0",43.9330897465175,47.2713132239161,-3.33822347739864,4379,4648933,-3.49790027199733
"formation","eeax1vsfrenchx0",3.15491974877879,6.11669638789116,-2.96177663911238,4299,4591556,-67.8732464504343
"male","eeax1vsfrenchx0",0.582327488043726,0.492960045138281,0.0893674429054447,4391,4650598,12.000503045218
"part_time","eeax1vsfrenchx0",0.149942062572422,0.225310139601318,-0.0753680770288964,4315,4643151,-13.8568779324004
"age","eeax1vsfrenchx1",35.9857993586807,33.976017947158,2.00978141152271,4366,368192,11.9842820849548
"diploma","eeax1vsfrenchx1",0.267428304966193,0.668019531133505,-0.400591226167313,4289,368847,-58.8790865417134
"experience_months","eeax1vsfrenchx1",43.9330897465175,57.0227094753328,-13.0896197288153,4379,370330,-13.5824668284518
"formation","eeax1vsfrenchx1",3.15491974877879,5.87183452912466,-2.71691478034587,4299,365309,-62.0925624845432
"male","eeax1vsfrenchx1",0.582327488043726,0.573802774876921,0.00852471316680503,4391,368665,1.13848149172612
"part_time","eeax1vsfrenchx1",0.149942062572422,0.15955464568803,-0.00961258311560842,4315,369773,-1.75770137091313
"age","eeax1vsnon-eeax0",35.9857993586807,37.3020312358942,-1.31623187721348,4366,55385,-7.61733279461641
"diploma","eeax1vsnon-eeax0",0.267428304966193,0.396952903586837,-0.129524598620644,4289,55397,-18.3158346479447
"experience_months","eeax1vsnon-eeax0",43.9330897465175,56.0609009659655,-12.127811219448,4379,55385,-11.9619855888864
"formation","eeax1vsnon-eeax0",3.15491974877879,4.45076474872542,-1.29584499994663,4299,54920,-28.4051966319732
"male","eeax1vsnon-eeax0",0.582327488043726,0.55766449746927,0.0246629905744561,4391,55320,3.18762445758612
"part_time","eeax1vsnon-eeax0",0.149942062572422,0.288465018639835,-0.138522956067413,4315,55258,-24.0192973517349
"age","eeax1vsnon-eeax1",35.9857993586807,39.1928553584811,-3.20705599980042,4366,4003,-13.7916463333837
"diploma","eeax1vsnon-eeax1",0.267428304966193,0.362816336757705,-0.0953880317915123,4289,3991,-9.37033631991451
"experience_months","eeax1vsnon-eeax1",43.9330897465175,56.8046465151137,-12.8715567685962,4379,4003,-8.04576128067751
"formation","eeax1vsnon-eeax1",3.15491974877879,3.87887887887888,-0.723959130100093,4299,3996,-11.1795843104471
"male","eeax1vsnon-eeax1",0.582327488043726,0.519419862340216,0.0629076257035095,4391,4068,5.82125452382645
"part_time","eeax1vsnon-eeax1",0.149942062572422,0.334409937888199,-0.184467875315777,4315,4025,-20.0250086614391
"age","frenchx0vsfrenchx1",31.9376644648082,33.976017947158,-2.03835348234979,4651071,368192,-103.72796885378
"diploma","frenchx0vsfrenchx1",0.647899886805826,0.668019531133505,-0.0201196443276797,4650416,368847,-24.9494560429767
"experience_months","frenchx0vsfrenchx1",47.2713132239161,57.0227094753328,-9.7513962514167,4648933,370330,-68.3012147673761
"formation","frenchx0vsfrenchx1",6.11669638789116,5.87183452912466,0.244861858766505,4591556,365309,70.0345291268289
"male","frenchx0vsfrenchx1",0.492960045138281,0.573802774876921,-0.0808427297386397,4650598,368665,-95.4668183080068
"part_time","frenchx0vsfrenchx1",0.225310139601318,0.15955464568803,0.0657554939132879,4643151,369773,103.937423548716
"age","frenchx0vsnon-eeax0",31.9376644648082,37.3020312358942,-5.36436677108599,4651071,55385,-116.499338815229
"diploma","frenchx0vsnon-eeax0",0.647899886805826,0.396952903586837,0.250946983218989,4650416,55397,120.039704323363
"experience_months","frenchx0vsnon-eeax0",47.2713132239161,56.0609009659655,-8.78958774204941,4648933,55385,-25.4204841014292
"formation","frenchx0vsnon-eeax0",6.11669638789116,4.45076474872542,1.66593163916574,4591556,54920,124.576339507275
"male","frenchx0vsnon-eeax0",0.492960045138281,0.55766449746927,-0.0647044523309886,4650598,55320,-30.4584152228682
"part_time","frenchx0vsnon-eeax0",0.225310139601318,0.288465018639835,-0.0631548790385168,4643151,55258,-32.6038811855814
"age","frenchx0vsnon-eeax1",31.9376644648082,39.1928553584811,-7.25519089367293,4651071,4003,-44.7073156056711
"diploma","frenchx0vsnon-eeax1",0.647899886805826,0.362816336757705,0.285083550048121,4650416,3991,37.4368330772441
"experience_months","frenchx0vsnon-eeax1",47.2713132239161,56.8046465151137,-9.53333329119756,4648933,4003,-7.41949327150323
"formation","frenchx0vsnon-eeax1",6.11669638789116,3.87887887887888,2.23781750901228,4591556,3996,46.7517704412265
"male","frenchx0vsnon-eeax1",0.492960045138281,0.519419862340216,-0.0264598172019352,4650598,4068,-3.37591634943843
"part_time","frenchx0vsnon-eeax1",0.225310139601318,0.334409937888199,-0.109099798286881,4643151,4025,-14.6643360203642
"age","frenchx1vsnon-eeax0",33.976017947158,37.3020312358942,-3.32601328873619,368192,55385,-67.1832163364783
"diploma","frenchx1vsnon-eeax0",0.668019531133505,0.396952903586837,0.271066627546668,368847,55397,122.174912616017
"experience_months","frenchx1vsnon-eeax0",57.0227094753328,56.0609009659655,0.961808509367295,370330,55385,2.59365555058465
"formation","frenchx1vsnon-eeax0",5.87183452912466,4.45076474872542,1.42106978039924,365309,54920,103.304478796388
"male","frenchx1vsnon-eeax0",0.573802774876921,0.55766449746927,0.0161382774076511,368665,55320,7.13044945622514
"part_time","frenchx1vsnon-eeax0",0.15955464568803,0.288465018639835,-0.128910372951805,369773,55258,-63.8423475186369
"age","frenchx1vsnon-eeax1",33.976017947158,39.1928553584811,-5.21683741132313,368192,4003,-31.9468285498531
"diploma","frenchx1vsnon-eeax1",0.668019531133505,0.362816336757705,0.3052031943758,368847,3991,39.8894484785403
"experience_months","frenchx1vsnon-eeax1",57.0227094753328,56.8046465151137,0.218062960219143,370330,4003,0.168795889133277
"formation","frenchx1vsnon-eeax1",5.87183452912466,3.87887887887888,1.99295565024578,365309,3996,41.5420179871447
"male","frenchx1vsnon-eeax1",0.573802774876921,0.519419862340216,0.0543829125367045,368665,4068,6.90435476170817
"part_time","frenchx1vsnon-eeax1",0.15955464568803,0.334409937888199,-0.174855292200169,369773,4025,-23.4339627828832
"age","non-eeax0vsnon-eeax1",37.3020312358942,39.1928553584811,-1.89082412258694,55385,4003,-11.2199414481311
"diploma","non-eeax0vsnon-eeax1",0.396952903586837,0.362816336757705,0.034136566829132,55397,3991,4.32624193280883
"experience_months","non-eeax0vsnon-eeax1",56.0609009659655,56.8046465151137,-0.743745549148151,55385,4003,-0.559332164716468
"formation","non-eeax0vsnon-eeax1",4.45076474872542,3.87887887887888,0.57188586984654,54920,3996,11.5112668730748
"male","non-eeax0vsnon-eeax1",0.55766449746927,0.519419862340216,0.0382446351290534,55320,4068,4.71342115496664
"part_time","non-eeax0vsnon-eeax1",0.288465018639835,0.334409937888199,-0.0459449192483638,55258,4025,-5.98011945599774
"monthly_wage","eeax0vseeax1",1433.18859200409,1614.60159793296,-181.413005928871,41862,8442,-11.3313044253361
"monthly_wage","eeax0vsfrenchx0",1433.18859200409,1412.14362074243,21.0449712616603,41862,6307269,4.46342431045042
"monthly_wage","eeax0vsfrenchx1",1433.18859200409,1629.1373130791,-195.948721075009,41862,525728,-37.089802971899
"monthly_wage","eeax0vsnon-eeax0",1433.18859200409,1392.77217306199,40.4164189421006,41862,81219,4.06018927573936
"monthly_wage","eeax0vsnon-eeax1",1433.18859200409,1363.68139195401,69.5072000500825,41862,7529,4.65400063800413
"monthly_wage","eeax1vsfrenchx0",1614.60159793296,1412.14362074243,202.457977190531,8442,6307269,13.2116206970603
"monthly_wage","eeax1vsfrenchx1",1614.60159793296,1629.1373130791,-14.5357151461385,8442,525728,-0.93727689503106
"monthly_wage","eeax1vsnon-eeax0",1614.60159793296,1392.77217306199,221.829424870971,8442,81219,12.5648705718465
"monthly_wage","eeax1vsnon-eeax1",1614.60159793296,1363.68139195401,250.920205978953,8442,7529,12.0216776452335
"monthly_wage","frenchx0vsfrenchx1",1412.14362074243,1629.1373130791,-216.993692336669,6307269,525728,-85.5977476295886
"monthly_wage","frenchx0vsnon-eeax0",1412.14362074243,1392.77217306199,19.3714476804403,6307269,81219,2.19897555918111
"monthly_wage","frenchx0vsnon-eeax1",1412.14362074243,1363.68139195401,48.4622287884222,6307269,7529,3.41344500815636
"monthly_wage","frenchx1vsnon-eeax0",1629.1373130791,1392.77217306199,236.36514001711,525728,81219,25.9001987741508
"monthly_wage","frenchx1vsnon-eeax1",1629.1373130791,1363.68139195401,265.455921125092,525728,7529,18.4394344785545
"monthly_wage","non-eeax0vsnon-eeax1",1392.77217306199,1363.68139195401,29.0907811079819,81219,7529,1.74341665450219
